video_id,scene_id,frames,real_auc,no_ce_auc,auc_delta_no_ce_minus_real,real_ap,no_ce_ap
12_0149,scene_12,208,0.17337278106508877,0.5467455621301776,0.37337278106508875,0.456456373671561,0.6776129364181173
05_0022,scene_05,304,0.17395654659805604,0.17028778349533064,-0.003668763102725403,0.2227890033241659,0.22666866186167126
03_0033,scene_03,280,0.24764163372859027,0.1464558629776021,-0.10118577075098817,0.285541786615373,0.26254645614004
04_0010,scene_04,472,0.2857905982905983,0.28987332112332115,0.004082722832722874,0.1569900201997211,0.15708685536592987
05_0021,scene_05,376,0.3206947060054405,0.729148357396945,0.40845365139150447,0.2237319731767568,0.34126443178337773
04_0003,scene_04,904,0.7417508549351294,0.7382789046388389,-0.003471950296290438,0.5325010244318032,0.44991579932600756
12_0148,scene_12,280,0.7477373704130328,0.7885469804179694,0.04080961000493666,0.783623998905729,0.8582890000177177
01_0141,scene_01,280,0.7482621140870988,0.5532099775097117,-0.19505213657738707,0.828001795831383,0.5842006037560474
12_0152,scene_12,328,0.7572642543859648,0.7161458333333333,-0.041118421052631526,0.9765781009317103,0.9741138081770786
04_0012,scene_04,328,0.7582750141857386,0.7605447323623984,0.002269718176659774,0.9845706702205663,0.9786454519589932
01_0132,scene_01,232,0.9892984542211652,0.8917954815695601,-0.09750297265160512,0.983811546684441,0.8419167060456865
01_0177,scene_01,284,0.989476795743423,0.9232042565770027,-0.06627253916642029,0.9789691664788815,0.8385695165119428
01_0139,scene_01,184,0.9983007646559048,0.9685641461342396,-0.029736618521665203,0.9988015316425676,0.9776709143361266
01_0129,scene_01,208,0.9985157699443414,0.9621521335807051,-0.036363636363636376,0.9985151697960901,0.961441235714158
01_0064,scene_01,256,1.0,0.9929245283018868,-0.007075471698113178,1.0,0.9984794751583382
